StudyHours,Attendance,PreviousScore,AssignmentScore,SleepHours,FinalScore
6.2,100.0,51.7,58.1,6.8,65.0
4.6,90.3,100.0,84.8,5.7,92.5
6.9,97.7,60.7,63.7,6.2,81.4
10.5,82.7,34.7,32.9,5.9,59.0
5.9,92.0,55.4,47.7,5.4,61.1
6.0,69.3,49.0,57.9,8.6,59.9
4.5,70.3,80.4,64.3,4.5,77.2
3.6,45.1,72.8,61.0,8.6,66.0
7.3,92.2,74.0,60.0,8.5,88.0
3.6,96.5,62.4,51.7,7.6,65.5
5.7,71.4,63.8,51.2,5.7,63.4
4.4,75.0,62.4,56.3,5.1,62.5
6.6,69.0,66.8,53.7,6.3,72.6
6.2,82.6,80.5,80.3,7.8,83.0
7.8,91.5,73.0,69.5,7.0,89.2
4.4,57.1,75.5,75.6,5.7,70.3
4.9,82.9,75.5,70.5,8.4,65.8
3.3,74.7,81.3,49.1,9.0,72.8
4.5,79.4,72.3,73.1,6.7,66.5
6.3,83.5,73.4,54.2,7.1,77.8
7.2,75.7,85.8,73.0,5.2,87.6
3.5,76.8,58.0,49.9,6.5,57.8
7.4,75.4,55.2,71.4,7.6,73.7
8.5,89.6,50.2,66.5,7.4,78.1
6.4,83.0,70.7,58.7,6.4,71.0
9.6,80.6,40.2,46.2,6.7,67.2
3.8,62.7,74.9,63.8,6.5,71.1
2.8,73.5,66.4,66.8,6.7,70.2
1.6,88.8,85.0,74.2,7.5,68.8
8.8,78.5,57.9,48.3,4.6,69.9
6.9,85.9,65.0,56.5,6.9,68.0
5.4,99.2,84.8,76.4,7.4,81.6
6.1,90.5,88.7,86.3,6.3,91.0
3.0,79.1,57.8,60.0,6.4,58.1
10.9,71.9,70.7,55.7,6.5,87.2
5.8,47.4,72.4,61.9,6.4,64.6
5.7,76.0,73.6,61.4,7.0,72.1
7.1,74.1,64.1,65.9,7.2,73.7
6.6,82.7,87.2,93.9,4.5,84.7
6.0,76.2,39.7,43.0,7.8,50.2
3.8,74.2,61.7,63.9,6.7,67.0
6.5,56.6,74.7,54.3,9.3,69.5
9.6,66.7,74.9,62.0,5.6,85.7
8.5,83.7,88.3,74.7,6.0,93.6
9.0,98.6,86.0,75.4,6.8,88.1
4.4,76.8,63.7,78.9,7.5,72.0
3.3,81.9,87.5,71.1,4.7,76.8
5.2,89.4,57.3,63.6,6.0,67.7
5.6,68.3,82.0,51.7,7.7,72.6
7.9,82.4,95.2,81.4,5.9,89.7
1.8,69.1,86.2,78.8,8.6,79.2
8.9,88.4,69.6,61.2,6.5,80.6
5.2,79.8,63.0,39.5,5.9,56.5
4.6,81.6,45.1,49.9,7.7,57.2
3.3,68.6,72.7,62.3,8.9,63.3
1.9,86.5,51.3,60.6,7.5,50.2
7.3,100.0,56.1,76.9,8.5,76.9
5.7,65.9,50.1,46.0,9.0,54.6
2.7,73.9,61.1,50.2,5.9,50.5
2.7,80.8,67.6,53.0,8.1,65.6
4.8,87.4,72.1,68.1,5.2,71.3
9.2,71.3,59.0,59.1,7.5,79.4
4.9,44.0,84.0,57.8,6.9,64.4
2.2,94.3,64.9,70.5,8.5,59.1
5.0,87.1,56.2,61.4,8.4,66.8
4.9,57.1,71.4,58.9,7.7,74.2
0.5,70.7,97.5,69.1,7.4,74.3
5.4,96.8,73.0,65.5,7.6,91.9
5.0,95.4,62.6,43.8,7.1,66.7
7.0,89.3,45.1,54.0,6.9,64.2
9.6,75.9,64.7,59.8,8.7,70.1
8.0,79.0,71.5,65.6,8.9,83.1
4.9,76.4,62.2,62.3,6.8,66.0
3.1,91.5,43.0,54.6,7.3,51.1
11.2,67.5,55.2,51.4,7.1,73.5
5.6,68.3,89.8,71.9,5.1,79.1
5.5,90.1,89.5,65.5,6.6,82.4
5.4,77.5,54.7,49.8,8.9,71.5
5.9,94.5,78.1,72.0,6.1,79.2
5.2,69.9,50.3,44.3,9.5,58.0
4.2,77.3,89.1,80.2,8.4,80.8
4.3,66.9,71.7,55.9,7.5,69.0
5.4,78.1,82.2,71.5,7.7,80.5
4.3,60.3,42.3,44.3,5.9,44.3
3.9,72.1,78.2,72.0,6.7,63.1
5.7,60.8,67.9,64.8,8.7,70.6
4.9,86.3,80.8,76.6,6.3,77.8
8.8,86.6,81.7,54.7,8.3,86.1
0.5,57.2,69.0,66.8,5.3,47.5
7.9,94.0,59.0,73.2,5.6,83.0
8.2,100.0,79.7,70.0,9.3,95.2
0.9,78.6,67.1,63.4,7.0,64.6
4.7,70.3,54.9,45.6,6.4,60.6
4.7,100.0,54.2,44.2,8.6,65.6
2.4,62.2,45.8,39.8,8.5,39.0
3.8,78.2,60.3,53.4,8.1,69.2
3.1,80.2,84.5,68.7,6.3,69.0
9.4,94.1,70.7,59.7,6.7,82.6
7.6,82.3,60.1,52.8,7.4,73.8
8.3,72.0,80.1,67.0,7.8,87.4
7.1,66.6,55.5,46.0,6.4,63.9
3.0,73.9,69.4,66.0,7.2,62.8
4.3,65.9,65.3,62.8,7.3,61.0
6.6,78.6,79.7,87.5,8.5,97.9
2.8,71.2,44.3,56.2,7.9,49.6
7.1,60.1,55.2,52.3,5.2,59.5
5.0,93.1,43.4,47.2,6.7,52.7
4.7,72.0,64.1,60.6,5.9,64.5
7.1,62.8,86.2,70.7,7.7,83.7
6.5,76.0,60.4,53.1,8.1,67.4
4.7,78.8,60.3,64.1,7.1,66.8
8.1,57.0,81.1,52.7,6.7,84.2
3.1,82.0,84.0,69.7,7.1,71.6
6.9,65.4,66.7,62.5,7.3,71.2
6.8,98.5,78.3,70.4,6.2,80.8
4.8,84.3,51.8,52.9,5.5,59.3
6.2,73.2,88.7,71.0,4.5,78.0
2.7,69.1,100.0,70.6,8.5,77.6
7.5,76.7,75.8,75.3,7.6,76.1
5.1,85.4,36.7,38.4,7.4,50.4
4.4,77.7,59.6,59.8,8.5,66.0
7.8,75.4,77.2,69.6,5.5,88.7
4.0,78.7,61.7,51.0,4.9,60.5
2.4,70.8,87.1,71.2,7.5,70.5
2.1,73.9,76.8,58.4,7.4,58.0
6.8,53.0,57.4,60.9,4.9,55.5
2.7,89.7,68.5,56.0,7.4,58.4
9.4,81.6,54.6,50.2,6.5,79.5
0.9,68.7,65.3,48.3,6.0,51.8
9.2,100.0,59.7,52.0,6.6,74.6
6.0,79.0,85.6,84.6,4.1,78.4
5.3,65.6,99.7,80.6,6.3,82.4
4.3,88.3,46.5,53.8,6.2,53.1
6.4,82.8,39.2,42.0,7.7,61.1
5.4,82.7,64.3,68.3,6.8,70.2
7.9,72.9,45.2,41.5,7.8,53.5
5.8,83.4,68.7,70.0,4.0,81.6
5.8,74.9,79.2,60.3,6.0,69.0
4.7,84.7,90.4,70.7,7.7,80.3
5.4,55.1,71.0,63.9,6.6,72.6
6.2,72.8,65.1,65.9,8.0,73.3
1.7,98.7,38.3,55.5,4.8,44.1
2.5,68.8,68.4,51.4,7.9,53.3
7.1,70.8,69.1,57.1,6.2,66.9
5.9,72.6,77.6,67.1,6.1,70.9
5.1,63.4,57.4,45.6,8.2,58.1
5.5,51.5,61.5,62.7,8.4,64.1
6.3,75.2,45.8,30.0,8.2,53.4
4.3,79.6,33.6,37.2,9.4,46.8
3.8,77.4,51.4,48.5,8.5,50.9
5.9,76.3,44.4,30.0,6.0,51.7
3.3,78.5,73.1,53.7,7.2,70.8
6.4,90.3,60.2,65.7,6.6,70.9
1.8,75.7,59.9,57.1,9.4,56.4
7.8,71.1,53.2,64.6,8.3,69.9
6.5,74.6,30.0,52.5,6.8,56.2
6.1,85.0,90.6,79.5,8.1,85.3
7.7,94.9,53.0,60.4,5.5,76.6
9.2,70.5,61.8,57.1,7.3,76.2
7.7,79.2,46.2,30.0,5.9,56.6
1.5,82.1,82.6,59.8,5.0,70.4
2.7,66.1,70.2,60.9,7.9,56.7
4.1,78.2,55.6,60.1,8.1,63.5
5.6,60.4,62.1,56.6,7.5,65.0
6.6,56.8,93.2,63.3,6.8,76.7
3.9,82.4,66.9,69.9,5.5,68.8
5.9,73.4,65.3,71.1,5.6,71.0
3.8,80.4,53.9,62.2,5.8,57.4
4.2,77.8,39.6,54.1,6.7,54.6
2.4,66.3,65.6,53.2,8.3,55.0
3.5,77.5,72.9,73.1,8.3,72.4
2.5,63.2,84.5,68.4,5.0,66.2
3.4,94.7,34.3,51.6,6.2,45.6
7.8,61.7,51.1,51.5,6.1,63.4
3.4,75.7,59.3,55.6,4.0,54.4
11.3,65.5,67.9,51.8,7.7,74.1
6.6,84.8,65.8,61.7,6.7,64.7
5.9,74.0,66.2,67.8,6.9,74.3
3.6,71.8,74.1,60.2,8.6,62.4
7.0,88.2,54.5,64.2,7.1,71.4
4.2,78.4,82.0,75.6,6.5,76.6
5.8,84.2,74.5,64.6,7.7,74.9
11.1,66.2,63.2,67.4,8.3,91.4
5.3,61.1,92.0,68.0,7.4,80.4
8.0,79.3,91.3,87.1,7.8,98.5
4.0,74.2,82.0,72.1,6.8,75.7
5.4,85.5,30.0,42.7,6.9,47.1
9.4,77.0,91.7,67.6,7.1,92.8
4.1,80.5,79.9,68.4,6.1,79.9
9.5,58.5,98.1,71.9,6.3,97.7
7.1,100.0,86.6,67.6,8.7,99.4
4.3,76.0,91.7,72.7,9.4,84.0
6.9,86.4,81.2,64.8,8.9,80.3
7.6,68.0,88.2,75.2,5.4,82.9
6.9,81.7,97.9,89.7,5.3,88.7
2.0,62.4,71.2,49.9,5.6,58.4
3.9,83.4,44.4,64.0,7.2,53.7
5.0,73.7,63.4,57.3,4.0,47.7
5.3,78.4,73.8,57.4,6.3,81.6
6.9,86.4,69.1,70.7,8.7,77.2
5.9,63.2,49.3,44.3,8.2,53.3
2.6,69.8,43.5,45.7,6.4,51.9
6.3,83.5,56.9,53.9,6.5,59.9
6.8,100.0,80.1,67.5,7.7,90.8
6.7,76.3,91.7,80.3,8.1,87.2
7.9,85.1,81.7,68.9,6.4,79.4
7.3,76.7,83.9,58.8,6.7,88.7
6.5,100.0,66.8,71.1,6.3,82.2
5.3,57.0,41.9,32.7,5.4,48.0
1.8,79.1,61.2,49.2,6.7,55.5
6.4,58.5,64.1,64.4,6.6,69.5
6.0,47.9,60.5,40.7,5.5,49.4
6.1,81.6,68.8,44.7,7.8,69.7
2.7,79.7,74.6,70.9,7.6,64.9
3.1,74.6,80.8,65.7,7.8,64.7
7.8,76.7,63.8,57.5,6.1,73.6
5.4,100.0,39.4,49.2,4.6,60.1
7.0,74.9,60.8,59.0,7.6,68.0
5.6,84.1,68.7,57.8,6.2,69.1
5.6,70.2,86.3,81.8,5.9,76.3
7.6,81.5,59.5,46.3,5.5,66.7
4.4,75.1,75.7,69.0,6.7,75.2
5.7,73.1,72.4,68.2,8.9,78.7
4.5,99.8,68.7,61.7,6.4,73.9
4.5,92.1,82.0,64.9,5.7,73.6
4.8,79.6,58.1,65.0,7.8,62.4
6.0,50.3,59.4,42.3,7.2,60.5
4.4,73.7,67.8,55.9,4.5,65.9
8.3,100.0,58.4,69.2,7.8,78.9
3.5,75.2,75.6,65.7,9.6,69.5
5.1,91.2,57.3,44.9,4.0,64.5
4.5,95.3,71.4,82.1,5.5,74.4
8.7,80.6,66.5,57.5,4.0,77.4
5.9,67.9,71.2,57.9,6.9,68.9
7.8,48.8,61.1,52.9,8.2,61.1
2.2,86.2,62.9,66.1,7.1,69.0
6.1,68.2,69.4,75.9,8.7,76.0
7.5,80.1,71.0,50.8,8.0,72.1
5.7,63.0,67.9,64.7,9.0,63.9
7.8,74.8,93.6,81.1,8.4,88.0
4.4,78.4,53.1,52.7,6.5,55.6
8.6,81.2,67.0,68.4,7.1,88.6
10.6,64.6,44.4,53.0,6.0,63.4
4.7,92.4,73.6,57.5,6.7,78.6
4.5,70.8,51.3,64.9,7.1,58.2
8.7,57.9,63.8,42.1,6.9,61.9
9.0,76.7,62.4,49.4,8.6,72.5
4.3,78.4,72.2,62.2,6.6,62.9
4.6,79.9,59.7,73.2,5.9,61.9
4.9,94.3,59.1,58.6,6.0,61.6
2.5,75.2,89.5,72.8,7.8,66.9
3.5,76.6,72.3,75.4,5.3,75.1
3.3,64.8,59.6,51.6,6.8,55.8
3.8,87.8,64.2,52.8,8.6,62.0
5.4,80.2,92.7,72.7,7.4,86.1
6.0,73.0,64.5,69.7,6.9,66.7
8.9,55.1,57.7,51.1,7.0,54.6
3.3,95.3,57.7,76.0,5.8,78.4
7.7,63.3,59.8,59.6,6.0,68.1
5.0,70.9,59.1,50.1,6.8,57.2
5.4,82.3,48.8,52.8,7.3,50.7
7.0,63.6,51.1,42.2,8.1,52.4
3.0,60.1,55.6,45.3,7.1,57.4
6.3,52.5,76.9,96.3,8.6,88.2
5.9,86.7,62.3,69.1,8.9,77.1
6.6,71.5,64.9,65.5,8.0,67.0
6.1,100.0,87.1,72.9,8.5,96.2
10.9,66.1,87.4,82.2,5.8,96.9
4.1,66.9,63.8,65.6,5.6,64.6
4.3,71.2,58.5,70.0,7.6,65.6
4.1,80.9,55.0,70.1,5.4,54.4
4.3,72.4,78.4,54.4,6.7,63.2
4.1,85.3,64.9,53.1,7.9,62.8
8.1,66.3,62.2,47.8,8.7,72.7
8.6,61.4,55.8,43.5,6.7,57.8
4.2,56.4,56.5,52.8,6.2,52.9
3.7,51.3,72.8,53.3,7.4,59.8
6.5,71.8,48.3,66.1,5.7,65.2
4.3,74.4,82.9,84.4,6.8,81.8
6.9,70.4,60.0,55.5,7.0,62.1
5.9,92.9,65.8,80.1,7.0,84.0
2.2,92.7,47.9,66.4,7.1,50.7
8.9,74.0,67.8,57.2,6.0,80.7
9.5,56.5,63.1,37.8,6.1,64.4
4.2,71.2,67.2,58.0,6.1,63.8
4.6,70.8,90.1,67.1,5.1,77.3
6.1,70.1,70.7,63.1,7.4,72.9
6.2,69.6,56.1,54.0,8.1,66.6
6.9,70.2,57.3,54.6,8.0,67.9
9.9,73.4,76.9,69.8,6.7,90.0
5.1,70.4,87.5,61.0,6.0,77.7
3.7,80.5,72.2,68.1,7.9,64.6
2.5,82.3,78.3,65.1,7.8,70.8
3.9,67.1,77.1,65.8,7.3,66.8
5.4,93.3,89.3,85.1,9.1,85.9
9.4,66.2,38.8,33.1,7.0,55.3
4.4,58.6,78.0,60.3,6.7,68.2
6.0,82.6,82.8,70.2,6.5,82.0
5.5,68.2,47.9,44.3,5.1,56.9
8.1,81.9,54.7,62.8,7.8,78.1
11.1,49.2,55.2,41.9,6.9,69.1
4.3,94.7,57.1,55.6,7.6,66.4
4.4,86.1,60.8,54.3,9.2,66.0
7.8,60.0,71.6,68.1,6.5,78.6
7.0,60.3,81.0,60.7,4.2,75.7
9.6,98.1,84.2,79.5,7.6,97.2
6.8,69.2,55.4,68.6,7.2,77.1
4.7,68.0,55.3,51.8,6.1,54.0
6.8,50.8,87.7,74.8,7.5,87.7
7.9,73.8,77.7,79.6,7.9,79.3
7.3,75.3,69.2,70.1,5.9,79.3
6.6,86.6,75.1,67.8,6.6,85.5
7.8,61.2,67.6,62.6,8.8,65.8
8.1,59.8,75.9,51.4,6.1,74.0
8.5,83.4,63.0,54.3,7.1,77.9
6.9,90.1,72.0,62.3,4.0,76.2
5.1,59.1,45.3,62.6,5.2,54.4
5.8,91.0,57.7,53.0,7.2,67.0
8.2,78.5,57.8,49.8,8.5,65.8
3.7,91.1,62.4,53.7,5.4,72.3
6.3,77.2,54.1,58.5,7.1,62.2
4.6,47.7,60.0,51.1,6.5,56.5
5.6,76.2,45.3,57.7,8.1,56.2
8.3,90.7,76.2,75.0,5.5,75.3
5.9,67.3,66.8,47.5,7.5,61.1
5.6,73.3,42.4,40.2,6.2,44.3
2.5,75.9,55.5,65.4,7.3,61.9
7.1,43.2,73.0,54.3,7.1,65.1
6.9,98.1,59.9,72.0,6.7,73.7
10.3,67.2,57.5,52.2,7.6,68.7
4.8,84.1,66.9,55.1,7.1,67.7
6.0,77.0,73.2,62.1,6.8,70.2
6.0,93.1,46.5,46.1,6.6,64.1
9.0,82.9,76.3,63.2,7.1,85.9
5.3,75.2,56.0,56.2,7.3,59.5
6.1,67.3,67.7,63.2,5.8,72.2
6.8,87.6,67.5,51.3,6.6,72.1
5.9,55.5,60.1,51.8,5.7,59.0
4.5,85.8,52.6,50.7,7.0,52.2
5.9,64.8,63.7,51.0,6.3,62.6
7.9,93.0,92.4,80.1,7.9,97.9
3.2,79.9,47.6,46.8,7.8,57.6
5.8,85.7,93.4,88.9,5.9,86.8
4.0,79.0,64.1,69.5,7.0,76.6
8.1,57.0,68.5,66.4,7.8,77.2
2.1,67.7,51.7,46.4,6.8,40.4
4.3,86.1,56.4,49.8,6.1,55.2
6.3,80.0,60.5,58.9,5.7,73.2
8.9,92.2,52.3,55.6,8.0,79.2
5.4,82.8,64.9,56.5,8.1,69.1
4.3,66.4,61.9,46.2,6.8,58.2
9.6,68.4,95.8,74.5,7.9,90.9
2.3,79.2,50.5,49.3,4.0,53.3
0.7,50.2,69.5,61.3,8.6,49.7
6.5,98.1,71.7,74.3,6.8,85.1
4.4,83.3,51.9,63.2,7.2,67.1
3.3,92.7,78.3,61.2,6.6,71.8
7.1,59.0,62.0,57.1,8.7,72.3
6.0,92.9,30.6,39.2,5.7,57.7
4.3,100.0,77.9,63.1,8.8,79.4
2.7,62.1,51.2,45.3,7.5,47.1
7.4,87.3,52.3,64.1,7.7,70.2
6.9,78.0,78.3,64.6,6.6,75.5
5.3,59.5,62.8,66.9,5.4,59.5
9.6,83.9,81.8,75.4,8.1,94.9
3.1,88.0,86.2,71.3,7.4,76.5
2.1,70.8,58.3,64.0,8.6,58.7
4.0,92.0,79.9,75.5,6.8,71.1
5.4,58.0,56.7,43.2,6.5,54.7
6.0,60.1,100.0,89.9,8.7,96.4
5.0,79.6,57.6,58.7,9.3,60.5
6.3,78.3,83.4,70.6,7.0,81.8
2.7,69.4,80.7,59.9,6.1,57.4
8.7,87.7,72.7,76.3,8.0,81.3
5.3,84.4,57.9,62.1,6.7,69.3
8.0,88.3,65.7,68.2,7.7,78.4
6.3,76.5,35.7,39.7,6.7,58.6
6.5,85.2,71.4,72.2,8.9,82.1
6.8,72.7,73.2,70.7,6.2,78.6
6.5,100.0,70.0,63.1,7.6,74.0
6.9,68.2,30.0,30.0,6.4,43.1
8.4,100.0,49.0,61.6,6.7,69.2
5.9,78.4,56.8,43.3,6.5,55.8
7.1,61.5,72.4,61.4,7.9,76.7
5.3,94.4,72.3,64.8,8.1,80.6
8.7,79.5,65.4,70.6,7.7,82.1
4.0,88.2,77.5,66.5,6.9,70.0
9.5,92.7,52.6,66.0,7.2,78.7
5.4,82.1,77.2,63.9,8.1,68.0
2.4,70.9,75.1,72.0,8.1,73.5
5.8,89.7,73.7,84.4,4.0,72.7
4.0,78.0,65.3,51.9,6.7,57.0
7.3,86.2,95.5,81.4,6.7,94.6
4.1,52.2,75.4,81.5,7.8,71.4
4.5,83.4,53.5,55.8,6.9,59.6
1.3,70.3,71.7,62.5,7.9,55.4
4.5,97.8,79.3,79.4,5.7,85.0
0.5,85.5,59.2,59.3,7.3,46.4
2.0,80.9,84.3,57.9,8.1,62.7
7.2,83.8,73.7,75.5,5.2,79.4
7.2,66.0,32.9,30.0,10.0,44.5
6.4,97.5,72.5,65.9,8.4,86.3
3.4,100.0,61.9,73.7,7.0,63.7
5.4,82.7,76.1,64.7,6.0,81.3
5.5,97.1,82.2,68.9,6.8,86.9
3.0,71.2,70.9,68.8,7.1,70.9
8.8,68.4,93.0,66.4,7.5,98.8
7.4,78.5,65.3,50.8,8.8,73.1
5.0,83.2,77.4,70.6,6.4,71.3
5.6,73.3,80.1,65.9,7.7,76.4
6.0,84.5,66.5,52.8,5.4,65.5
1.0,81.7,79.7,74.4,6.5,64.1
5.0,66.0,59.1,57.7,7.5,62.2
4.0,84.2,61.7,57.1,7.8,62.5
3.3,88.4,48.3,51.3,6.1,50.0
4.9,80.1,71.6,68.2,6.5,70.6
9.5,91.8,72.9,77.6,8.8,93.7
6.9,63.4,85.7,65.7,8.4,85.9
4.2,83.6,79.9,75.1,7.3,69.9
6.8,64.0,63.7,60.6,4.3,64.1
8.6,64.6,50.3,55.8,10.0,67.7
7.5,70.4,74.5,63.9,7.0,72.0
5.6,66.7,84.7,61.0,6.6,74.9
4.1,71.4,79.3,62.8,6.4,70.8
7.0,75.4,84.3,73.0,7.5,86.8
6.4,88.0,64.8,77.2,7.5,77.5
7.5,74.1,61.0,53.2,8.1,66.0
6.9,59.0,56.9,57.5,5.9,71.4
7.8,91.7,67.2,62.3,6.6,81.8
4.3,68.0,66.8,59.6,9.4,68.6
8.4,77.3,71.1,75.6,7.3,87.1
5.9,83.4,66.1,68.3,6.8,73.7
10.1,80.4,66.0,51.5,5.9,83.6
4.0,91.1,56.3,54.2,7.6,62.0
9.3,83.7,82.1,81.1,8.2,93.8
5.9,67.7,69.1,61.1,8.0,73.2
4.1,100.0,65.4,56.8,6.7,75.0
4.4,80.3,56.8,49.8,7.4,66.4
4.8,76.2,48.0,56.1,9.0,61.5
6.4,89.6,87.6,83.5,8.3,93.1
6.7,81.0,76.3,67.4,6.1,81.3
4.2,82.8,43.6,69.5,4.0,59.2
5.4,100.0,79.4,80.3,7.4,90.5
10.2,74.7,81.8,66.7,8.0,89.3
9.3,74.2,69.9,55.5,5.7,83.1
6.5,79.4,92.0,67.7,7.0,87.4
5.6,90.9,71.3,69.6,6.7,79.0
5.8,59.9,46.7,41.7,7.1,58.2
6.8,54.4,73.5,72.4,6.3,76.6
3.2,71.0,71.7,73.9,8.5,73.0
4.9,58.4,59.0,57.1,7.2,57.5
1.8,72.9,76.6,55.9,5.9,67.6
6.4,84.0,43.0,44.3,8.1,61.4
6.9,67.3,82.9,77.5,5.5,81.6
4.4,60.9,54.8,45.9,8.5,59.9
9.0,78.8,53.2,62.9,8.2,85.3
2.8,88.4,66.3,67.4,8.7,62.1
2.3,57.7,74.5,60.8,6.8,56.7
6.0,87.8,70.5,60.1,6.4,85.5
7.8,87.8,56.9,57.5,7.1,73.5
9.2,89.4,60.4,62.1,6.9,79.1
4.5,92.6,51.0,64.5,6.2,61.5
7.9,100.0,64.6,58.4,6.3,82.9
5.4,73.7,84.1,67.6,6.6,89.4
5.1,79.3,67.9,62.5,5.6,64.9
7.4,73.0,80.9,73.0,7.8,83.3
6.9,78.0,89.8,66.6,6.9,83.6
2.0,96.4,59.2,51.1,6.6,60.6
8.7,61.9,65.2,61.7,5.7,77.9
8.5,67.7,100.0,64.8,5.6,97.7
4.1,94.5,89.7,88.2,9.3,92.4
6.4,90.2,42.9,49.9,6.2,70.3
6.6,73.6,73.8,51.6,7.7,70.3
6.1,88.3,68.0,60.6,7.2,69.8
4.3,82.1,80.4,72.8,4.0,80.0
4.0,96.0,56.8,56.0,9.2,65.6
5.4,78.9,55.4,55.4,7.8,56.9
8.1,90.3,57.9,65.3,6.1,72.9
6.7,100.0,59.4,61.1,7.0,74.4
4.7,85.2,80.2,62.9,5.6,71.2
7.2,78.6,50.3,49.9,9.2,60.7
0.5,86.7,58.7,70.3,5.9,54.4
8.0,73.6,41.2,59.5,6.4,56.8
1.7,100.0,83.1,59.5,6.1,73.1
4.7,80.2,87.1,81.7,7.1,73.8
3.0,74.7,63.1,60.4,8.6,62.1
2.7,68.0,63.5,64.3,9.1,63.6
8.1,91.2,74.8,64.5,6.5,82.4
4.5,88.4,90.1,62.5,7.5,85.7
6.3,72.0,74.1,68.4,7.1,69.4
5.4,84.9,57.5,50.3,5.8,58.8
6.5,59.9,43.7,32.9,9.9,51.5
5.7,80.2,51.3,42.7,8.6,63.0
2.7,83.4,69.1,68.7,7.2,67.2
7.7,98.5,58.2,62.8,8.9,86.9
4.4,68.8,70.9,67.5,8.5,66.0
2.1,62.7,59.7,58.9,7.1,47.2
4.6,67.3,52.1,47.1,7.4,62.7
8.8,62.0,50.3,47.6,8.8,58.7
7.4,94.0,91.4,74.7,5.9,94.6
4.7,96.6,81.3,72.2,9.0,78.2
4.7,81.8,94.0,69.4,6.7,73.4
4.8,92.7,76.1,73.2,8.8,78.0
10.1,79.6,61.6,67.4,7.0,84.6
6.3,76.9,87.9,66.0,7.4,77.4
6.4,74.0,67.5,70.9,7.0,76.2
7.8,74.3,71.3,63.7,6.4,80.1
6.0,59.4,67.4,58.8,6.7,60.5
4.9,81.2,30.0,30.0,8.7,43.6
5.1,77.5,92.1,60.6,4.2,84.4
5.3,86.9,75.4,69.3,5.5,78.1
5.4,79.1,72.9,71.2,6.1,72.6
7.1,76.0,67.1,55.5,5.7,72.3
5.6,67.5,70.5,74.0,8.8,71.1
7.1,78.9,59.0,63.1,8.5,76.8
5.3,86.9,77.2,61.9,7.7,81.4
5.7,64.3,48.4,47.9,6.2,54.6
1.1,79.0,70.8,83.5,8.6,68.2
7.5,80.8,76.4,57.3,5.1,72.3
6.3,69.4,65.0,62.3,9.6,65.6
7.7,70.9,73.6,60.6,6.2,74.2
0.5,80.8,53.1,60.1,6.7,49.3
10.1,64.4,53.5,60.7,6.5,76.3
5.2,82.2,71.6,61.8,5.7,74.6
7.9,67.3,78.2,73.8,9.3,85.1
3.2,90.8,39.9,67.4,7.9,60.7
6.8,100.0,75.8,72.2,8.5,81.4
3.2,67.7,59.9,61.1,5.5,61.2
4.1,84.4,65.1,57.2,7.2,61.7
9.7,69.3,47.9,48.8,7.6,72.5
5.1,90.5,55.2,56.6,7.3,64.2
6.0,62.8,82.5,72.5,5.6,67.5
7.4,83.8,68.5,73.3,8.3,83.8
6.6,67.5,62.3,55.3,7.1,70.1
5.8,75.5,66.3,72.6,5.9,69.0
6.3,65.6,75.3,75.1,4.8,72.5
10.8,87.9,74.6,74.8,7.7,92.2
5.4,68.0,66.9,54.7,9.9,59.7
5.9,84.6,84.4,67.7,5.8,69.9
7.8,73.9,82.6,62.4,7.2,88.4
7.9,76.6,74.2,72.6,8.3,79.2
8.1,79.8,68.8,53.1,5.5,82.2
6.9,68.9,77.9,70.5,6.4,84.3
3.0,80.5,72.7,56.5,6.0,71.0
9.1,96.4,83.9,81.8,8.2,93.9
3.0,68.7,81.5,67.1,8.6,63.8
6.2,92.1,52.7,67.7,7.2,64.1
3.8,96.0,51.7,66.6,6.0,59.5
5.4,68.2,57.5,65.2,6.5,52.4
6.2,60.5,82.6,77.2,6.2,76.2
6.2,81.6,44.4,51.0,5.8,56.4
6.4,71.4,73.9,54.2,6.9,66.0
9.1,100.0,73.4,61.9,7.7,82.4
6.5,78.4,85.4,54.9,7.6,78.9
5.0,68.4,70.7,52.3,7.0,67.3
7.6,64.2,47.9,47.9,7.1,55.7
8.1,91.1,53.6,52.8,6.9,71.4
2.8,71.1,50.3,49.0,5.4,48.9
6.8,78.5,59.9,61.5,7.2,69.9
7.0,89.5,65.3,60.9,6.3,71.0
4.8,72.2,50.5,41.9,5.4,46.0
8.5,77.4,90.1,73.5,7.4,99.2
5.2,77.8,48.1,43.7,6.3,57.2
5.8,86.2,88.2,72.9,7.3,89.7
5.1,85.1,85.8,84.2,8.0,85.1
5.5,75.4,81.5,66.5,5.9,75.3
3.1,78.8,57.6,70.5,7.1,63.4
2.3,73.5,73.1,75.0,4.8,56.1
9.0,60.3,48.8,42.3,8.8,58.2
3.6,81.1,81.7,61.3,5.4,66.9
3.3,100.0,66.9,66.4,6.4,66.6
0.8,67.4,61.9,65.1,8.6,51.2
4.1,68.7,49.6,45.5,6.7,52.8
2.6,67.6,30.8,46.1,5.6,37.6
9.1,86.7,52.4,65.2,7.9,81.6
7.7,83.4,84.7,66.2,7.8,97.8
4.0,76.1,62.0,52.7,6.2,54.1
10.5,67.0,65.5,63.5,6.4,80.1
7.7,79.1,77.8,68.8,6.5,82.5
4.8,59.2,95.1,66.6,6.8,78.4
0.5,79.7,87.9,70.5,4.7,61.9
